City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
227,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,59,75,17.9,broken clouds
228,Marrakesh,MA,31.6315,-8.0083,57.27,62,0,3.44,clear sky
229,Katherine,AU,-14.4667,132.2667,86.32,70,40,4.61,scattered clouds
230,Kashi,CN,39.4547,75.9797,28.26,79,75,4.47,broken clouds
231,Provideniya,RU,64.3833,-173.3,3.31,66,0,8.95,clear sky
232,Kurumkan,RU,54.3,110.3,3.78,91,65,1.68,broken clouds
233,Yatou,CN,37.15,122.3833,35.31,41,100,2.37,overcast clouds
234,Praia Da Vitoria,PT,38.7333,-27.0667,60.76,94,75,17.13,broken clouds
235,Monkey Hill,KN,17.3167,-62.7167,76.86,83,75,17.27,broken clouds
236,Kenai,US,60.5544,-151.2583,28.09,95,100,0.0,light snow
237,Wattegama,LK,6.7989,81.4808,76.12,70,96,6.06,overcast clouds
238,Portland,US,45.5234,-122.6762,50.79,82,20,1.01,few clouds
239,Brae,GB,60.3964,-1.353,39.11,57,95,30.4,overcast clouds
240,Tessalit,ML,20.1986,1.0114,59.61,16,0,5.95,clear sky
241,Katsuura,JP,35.1333,140.3,44.71,31,16,4.5,few clouds
242,Saint Anthony,US,45.0205,-93.218,11.35,68,0,4.0,clear sky
243,Kungurtug,RU,50.5994,97.5228,0.72,80,59,1.14,broken clouds
244,Tuatapere,NZ,-46.1333,167.6833,60.82,44,0,6.46,clear sky
245,Ulladulla,AU,-35.35,150.4667,75.87,60,25,13.27,scattered clouds
246,Mehamn,NO,71.0357,27.8492,18.45,83,90,13.51,overcast clouds
247,Stokmarknes,NO,68.5646,14.9108,29.5,84,100,3.42,light snow
248,Suamico,US,44.6319,-88.0393,32.0,89,100,3.0,mist
249,Vila Velha,BR,-20.3297,-40.2925,78.75,89,75,1.99,broken clouds
250,Sant Julia De Loria,AD,42.4625,1.4825,35.01,60,80,9.13,broken clouds
251,Verkhoshizhemye,RU,58.011,49.1038,10.62,99,96,1.9,light snow
252,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,74,75,18.01,broken clouds
253,Launceston,AU,-41.45,147.1667,77.61,45,0,3.0,clear sky
